Change,Analyst,Recommendation,Date
Maintains,JP Morgan, to Overweight,2/12/2021
Maintains,Susquehanna, to Positive,2/12/2021
Maintains,Citigroup, to Buy,2/12/2021
Maintains,Morgan Stanley, to Overweight,2/12/2021
Maintains,Raymond James, to Outperform,2/12/2021
Maintains,KeyBanc, to Overweight,2/12/2021
Maintains,BMO Capital, to Market Perform,2/5/2021
Maintains,Wells Fargo, to Overweight,2/4/2021
Maintains,Wedbush, to Outperform,2/4/2021
Maintains,JMP Securities, to Market Outperform,2/4/2021
Maintains,Jefferies, to Buy,2/4/2021
Maintains,Canaccord Genuity, to Buy,2/4/2021
Maintains,Credit Suisse, to Outperform,2/4/2021
Maintains,Morgan Stanley, to Overweight,2/4/2021
Maintains,Rosenblatt, to Buy,2/4/2021
Upgrade,Atlantic Equities, Neutral to Overweight,2/4/2021
Maintains,Morgan Stanley, to Overweight,1/27/2021
Maintains,KeyBanc, to Overweight,1/27/2021
Maintains,B of A Securities, to Buy,1/22/2021
Upgrade,BTIG, Neutral to Buy,1/21/2021
Maintains,KeyBanc, to Overweight,12/16/2020
Initiated,Seaport Global, to Neutral,12/7/2020
Maintains,Rosenblatt, to Buy,11/17/2020
Upgrade,DZ Bank, Hold to Buy,11/5/2020
Maintains,Credit Suisse, to Outperform,11/3/2020
Maintains,Rosenblatt, to Buy,11/3/2020
Maintains,KeyBanc, to Overweight,11/3/2020
Maintains,Morgan Stanley, to Overweight,11/2/2020
Maintains,KeyBanc, to Overweight,10/8/2020
Initiated,Mizuho, to Buy,8/27/2020
Maintains,"Keefe, Bruyette & Woods", to Outperform,7/31/2020
Maintains,Piper Sandler, to Overweight,7/30/2020
Maintains,Oppenheimer, to Outperform,7/30/2020
Maintains,SunTrust Robinson Humphrey, to Hold,7/30/2020
Maintains,Jefferies, to Buy,7/30/2020
Maintains,Canaccord Genuity, to Buy,7/30/2020
Maintains,Raymond James, to Outperform,7/30/2020
Maintains,Deutsche Bank, to Buy,7/30/2020
Maintains,Citigroup, to Buy,7/30/2020
Maintains,Wedbush, to Outperform,7/30/2020
Maintains,Rosenblatt, to Buy,7/30/2020
Maintains,RBC Capital, to Outperform,7/30/2020
Maintains,KeyBanc, to Overweight,7/30/2020
Maintains,Morgan Stanley, to Overweight,7/22/2020
Maintains,Barclays, to Overweight,7/22/2020
Maintains,KeyBanc, to Overweight,7/22/2020
Reiterates,B of A Securities, to Buy,7/13/2020
Initiated,Piper Sandler, to Overweight,7/7/2020
Maintains,Wedbush, to Outperform,7/2/2020
Initiated,JMP Securities, to Market Outperform,6/30/2020
Maintains,B of A Securities, to Buy,6/26/2020
Maintains,KeyBanc, to Overweight,6/24/2020
Maintains,Credit Suisse, to Outperform,6/23/2020
Maintains,Credit Suisse, to Outperform,6/22/2020
Maintains,Citigroup, to Buy,6/18/2020
Maintains,Deutsche Bank, to Buy,6/2/2020
Reiterates,B of A Securities, to Buy,5/26/2020
Downgrade,BMO Capital, Outperform to Market Perform,5/15/2020
Maintains,Barclays, to Overweight,5/11/2020
Maintains,Citigroup, to Buy,5/8/2020
Maintains,Canaccord Genuity, to Hold,5/7/2020
Maintains,BMO Capital, to Outperform,5/7/2020
Maintains,SunTrust Robinson Humphrey, to Hold,5/7/2020
Reiterates,B of A Securities, to Buy,5/7/2020
Maintains,RBC Capital, to Outperform,5/7/2020
Maintains,Oppenheimer, to Outperform,5/7/2020
Maintains,Wells Fargo, to Overweight,5/7/2020
Maintains,Credit Suisse, to Outperform,5/7/2020
Maintains,KeyBanc, to Overweight,5/7/2020
Maintains,Morgan Stanley, to Overweight,5/5/2020
Maintains,KeyBanc, to Overweight,5/4/2020
Downgrade,DZ Bank, Buy to Hold,4/28/2020
Maintains,Deutsche Bank, to Buy,4/21/2020
Maintains,Nomura, to Buy,4/9/2020
Maintains,Citigroup, to Buy,4/9/2020
Maintains,RBC Capital, to Outperform,4/9/2020
Maintains,Wells Fargo, to Overweight,4/8/2020
Maintains,Wedbush, to Outperform,4/6/2020
Maintains,Morgan Stanley, to Overweight,3/31/2020
Maintains,KeyBanc, to Overweight,3/23/2020
Upgrade,Guggenheim, Neutral to Buy,1/31/2020
Maintains,Canaccord Genuity, to Buy,1/30/2020
Maintains,SunTrust Robinson Humphrey, to Hold,1/30/2020
Maintains,Baird, to Outperform,1/30/2020
Maintains,BMO Capital, to Outperform,1/30/2020
Maintains,Raymond James, to Outperform,1/30/2020
Initiated,Credit Suisse, to Outperform,1/24/2020
Maintains,Morgan Stanley, to Overweight,1/23/2020
Upgrade,Bernstein, Market Perform to Outperform,1/7/2020
Initiated,Compass Point, to Buy,12/5/2019
Maintains,Barclays, to Overweight,10/28/2019
Maintains,BMO Capital, to Outperform,10/25/2019
Maintains,Cantor Fitzgerald, to Overweight,10/24/2019
Maintains,Raymond James, to Outperform,9/19/2019
Reiterates,Bank of America, to Buy,9/13/2019
Upgrade,Canaccord Genuity, Hold to Buy,9/12/2019
Maintains,Citigroup, to Buy,9/9/2019
Initiated,Rosenblatt, to Buy,8/20/2019
Upgrade,Guggenheim, Sell to Neutral,8/13/2019
Downgrade,Guggenheim, Neutral to Sell,7/29/2019
Maintains,Baird, to Outperform,7/25/2019
Maintains,Nomura, to Buy,7/25/2019
Maintains,Canaccord Genuity, to Hold,7/25/2019
Maintains,KeyBanc, to Overweight,7/25/2019
Maintains,Wedbush, to Outperform,7/19/2019
Maintains,Morgan Stanley, to Overweight,7/10/2019
Maintains,JP Morgan, to Overweight,6/14/2019
Reiterates,BTIG, to Buy,5/6/2019
Maintains,KeyBanc, Overweight to Overweight,4/29/2019
Maintains,Nomura, Buy to Buy,4/25/2019
Maintains,Morgan Stanley, Overweight to Overweight,4/25/2019
Maintains,Canaccord Genuity, Hold to Hold,4/25/2019
Maintains,Wedbush, Outperform to Outperform,4/25/2019
Maintains,KeyBanc, Overweight to Overweight,4/22/2019
Maintains,Barclays, Overweight to Overweight,4/17/2019
Maintains,Morgan Stanley, Overweight to Overweight,4/17/2019
Downgrade,UBS, Buy to Neutral,4/17/2019
Maintains,Morgan Stanley, Overweight to Overweight,3/21/2019
Maintains,Nomura, Buy to Buy,2/28/2019
Downgrade,Buckingham, Buy to Neutral,2/25/2019
Downgrade,Guggenheim, Buy to Neutral,2/6/2019
Downgrade,Atlantic Equities, Overweight to Neutral,2/1/2019
Maintains,Barclays, Overweight to Overweight,1/7/2019
Initiated,Barclays, to Overweight,11/15/2018
Maintains,BMO Capital, Outperform to Outperform,10/22/2018
Maintains,Canaccord Genuity, Hold to Hold,10/19/2018
Upgrade,BTIG Research, Neutral to Buy,10/19/2018
Maintains,Nomura, Buy to Buy,10/11/2018
Initiated,BMO Capital, to Outperform,9/27/2018
Maintains,Bank of America, Buy to Buy,9/11/2018
Maintains,KeyBanc, Overweight to Overweight,9/11/2018
Maintains,Baird, Outperform to Outperform,8/24/2018
Maintains,Morgan Stanley, Overweight to Overweight,7/26/2018
Maintains,Stifel Nicolaus, Buy to Buy,7/26/2018
Maintains,KeyBanc, Overweight to Overweight,7/25/2018
Maintains,Citigroup, Buy to Buy,7/20/2018
Maintains,Morgan Stanley, Overweight to Overweight,7/19/2018
Maintains,Bank of America, Buy to Buy,6/26/2018
Upgrade,Atlantic Equities, Neutral to Overweight,6/21/2018
Maintains,Wedbush, Outperform to Outperform,6/8/2018
Upgrade,Stifel Nicolaus, Hold to Buy,5/25/2018
Maintains,KeyBanc, Overweight to Overweight,5/22/2018
Maintains,Canaccord Genuity, Hold to Hold,4/26/2018
Maintains,Credit Suisse, Outperform to Outperform,4/26/2018
Maintains,Morgan Stanley, Overweight to Overweight,4/26/2018
Maintains,JP Morgan, Overweight to Overweight,4/26/2018
Maintains,Stifel Nicolaus, Hold to Hold,4/26/2018
Initiated,Bernstein, to Market Perform,3/28/2018
Maintains,Credit Suisse, Outperform to Outperform,2/14/2018
Upgrade,Wells Fargo, Market Perform to Outperform,2/5/2018
Maintains,BMO Capital, Outperform to Outperform,2/1/2018
Maintains,Morgan Stanley, Overweight to Overweight,2/1/2018
Maintains,Stifel Nicolaus, Hold to Hold,2/1/2018
Upgrade,Cowen & Co., Market Perform to Outperform,1/9/2018
Maintains,BMO Capital, to Outperform,12/13/2017
Maintains,Nomura, to Buy,12/13/2017
Maintains,Credit Suisse, to Outperform,11/17/2017
Maintains,Argus, to Buy,11/17/2017
Maintains,KeyBanc, to Overweight,11/17/2017
Maintains,Baird, to Outperform,10/20/2017
Maintains,BMO Capital, to Outperform,10/20/2017
Maintains,Barclays, to Overweight,10/20/2017
Maintains,KeyBanc, to Overweight,10/20/2017
Maintains,Credit Suisse, to Outperform,10/20/2017
Maintains,Wells Fargo, to Market Perform,10/20/2017
Maintains,Citigroup, to Buy,10/20/2017
Maintains,Morgan Stanley, to Overweight,10/20/2017
Maintains,BTIG Research, to Buy,10/20/2017
Maintains,Citigroup, to Buy,10/18/2017
Maintains,Nomura, to Buy,10/16/2017
Maintains,Jefferies, to Buy,10/13/2017
Maintains,Barclays, to Overweight,10/11/2017
Upgrade,Morgan Stanley, Equal-Weight to Overweight,10/11/2017
Maintains,Bank of America, to Buy,10/6/2017
Initiated,Buckingham, to Buy,10/2/2017
Maintains,KeyBanc, to Overweight,9/18/2017
Maintains,Barclays, to Overweight,9/15/2017
Maintains,Raymond James, to Outperform,7/27/2017
Maintains,Barclays, to Overweight,7/27/2017
Downgrade,SunTrust Robinson Humphrey, Buy to Hold,7/19/2017
Maintains,Deutsche Bank, to Buy,7/18/2017
Upgrade,Bernstein, Market Perform to Outperform,7/10/2017
Upgrade,Pacific Crest, Sector Weight to Overweight,6/21/2017
Downgrade,Stifel Nicolaus, Buy to Hold,5/25/2017
Upgrade,FBN Securities, Sector Perform to Outperform,5/1/2017
Upgrade,PiperJaffray, Underweight to Neutral,4/27/2017
Initiated,Loop Capital, to Hold,1/10/2017
Initiated,BMO Capital, to Outperform,1/6/2017
Initiated,Guggenheim, to Buy,1/4/2017
Upgrade,Monness Crespi Hardt, Neutral to Buy,1/3/2017
Upgrade,Stifel Nicolaus, Hold to Buy,10/21/2016
Initiated,Evercore ISI Group, to Buy,10/18/2016
Maintains,Barclays, to Overweight,10/14/2016
Maintains,Deutsche Bank, to Buy,10/11/2016
Downgrade,Canaccord Genuity, Buy to Hold,9/19/2016
Initiated,Craig-Hallum, to Buy,9/15/2016
Maintains,William Blair, to Outperform,7/22/2016
Downgrade,Wells Fargo, Outperform to Market Perform,7/22/2016
Maintains,UBS, to Neutral,7/22/2016
Maintains,Citigroup, to Buy,7/22/2016
Maintains,Credit Suisse, to Outperform,7/22/2016
Initiated,Stephens & Co., to Overweight,7/8/2016
Maintains,Barclays, to Overweight,7/7/2016
Initiated,Oppenheimer, to Outperform,6/17/2016
Initiated,Nomura, to Hold,5/26/2016
Maintains,UBS, to Neutral,4/28/2016
Maintains,Citigroup, to Buy,4/22/2016
Initiated,Compass Point, to Neutral,4/15/2016
Initiated,Bernstein, to Market Perform,3/30/2016
Initiated,Atlantic Equities, to Neutral,3/29/2016
Initiated,Sterne Agee CRT, to Neutral,3/24/2016
Downgrade,Stifel Nicolaus, Buy to Hold,3/18/2016
Maintains,Wedbush, to Outperform,3/17/2016
Maintains,Evercore ISI Group, to Sell,3/9/2016
Maintains,Canaccord Genuity, to Buy,1/28/2016
Upgrade,Wedbush, Neutral to Outperform,1/28/2016
Maintains,JP Morgan, to Overweight,1/28/2016
Maintains,SunTrust Robinson Humphrey, to Buy,1/25/2016
Upgrade,Monness Crespi Hardt, Sell to Neutral,1/25/2016
Initiated,Mizuho, to Buy,1/12/2016
Maintains,Barclays, to Overweight,1/5/2016
Initiated,Credit Suisse, to Outperform,12/10/2015
Maintains,Canaccord Genuity, to Buy,10/29/2015
Initiated,William Blair, to Outperform,10/6/2015
Maintains,Evercore ISI Group, to Sell,10/6/2015
Initiated,Cowen & Co., to Market Perform,9/30/2015
Initiated,Canaccord Genuity, to Buy,9/25/2015
Upgrade,Stifel Nicolaus, Hold to Buy,9/21/2015
Initiated,Susquehanna, to Positive,8/7/2015
Initiated,Compass Point, to Buy,7/31/2015
Initiated,Jefferies, to Buy,7/28/2015
Initiated,First Analysis, to Overweight,7/27/2015
Initiated,UBS, to Neutral,7/23/2015
Initiated,Morgan Stanley, to Equal-Weight,7/23/2015
Initiated,FBN Securities, to Sector Perform,7/22/2015
Initiated,Raymond James, to Outperform,7/22/2015
Initiated,Citigroup, to Buy,7/22/2015
Initiated,Barclays, to Overweight,7/22/2015
Initiated,PiperJaffray, to Underweight,7/21/2015
Initiated,RBC Capital, to Outperform,7/21/2015
Initiated,Bank of America, to Neutral,7/21/2015
Initiated,Stifel Nicolaus, to Hold,7/21/2015
Initiated,BTIG Research, to Buy,7/20/2015
