Change,Analyst,Recommendation,Date
Maintains,Morgan Stanley,to Overweight,10/14/2020
Maintains,RBC Capital,to Outperform,10/12/2020
Maintains,Raymond James,to Outperform,9/22/2020
Maintains,Citigroup,to Buy,9/21/2020
Maintains,Jefferies,to Buy,9/17/2020
Maintains,Needham,to Buy,9/16/2020
Maintains,B of A Securities,to Neutral,9/1/2020
Maintains,JP Morgan,to Overweight,9/1/2020
Reiterates,Bank of America,to Neutral,9/1/2020
Maintains,Argus Research,to Buy,8/31/2020
Maintains,Wedbush,to Outperform,9/24/2020
Maintains,Cowen & Co.,to Outperform,9/14/2020
Maintains,Wedbush,to Outperform,8/26/2020
Maintains,Morgan Stanley,to Overweight,9/14/2020
Maintains,Wedbush,to Outperform,8/10/2020
Maintains,Wells Fargo,to Overweight,9/14/2020
Downgrade,B of A Securities,Buy to Neutral,8/5/2020
Maintains,Cascend,to Buy,9/14/2020
Maintains,Canaccord Genuity,to Buy,9/14/2020
Maintains,Credit Suisse,to Neutral,9/14/2020
Maintains,Morgan Stanley,to Overweight,7/31/2020
Maintains,Raymond James,to Outperform,9/14/2020
Maintains,UBS,to Buy,9/14/2020
Maintains,Citigroup,to Buy,9/14/2020
Maintains,Wedbush,to Outperform,7/31/2020
Maintains,Credit Suisse,to Neutral,7/29/2020
Initiated,Wolfe Research,to Underperform,9/14/2020
Maintains,Needham,to Buy,9/23/2020
Maintains,Morgan Stanley,to Overweight,7/13/2020
Maintains,Wedbush,to Outperform,7/13/2020
Maintains,Cascend,to Buy,7/7/2020
Reiterates,Raymond James,to Outperform,7/7/2020
Maintains,Wedbush,to Outperform,6/25/2020
Maintains,UBS,to Buy,6/23/2020
Maintains,Deutsche Bank,to Buy,9/23/2020
Maintains,Bernstein,to Market Perform,9/23/2020
Maintains,Baird,to Outperform,9/23/2020
Maintains,Cowen & Co.,to Outperform,6/22/2020
Maintains,RBC Capital,to Outperform,9/23/2020
Maintains,Citigroup,to Buy,6/16/2020
Maintains,B of A Securities,to Buy,6/11/2020
Maintains,Wells Fargo,to Overweight,6/11/2020
Upgrade,HSBC,Reduce to Hold,9/23/2020
Maintains,Deutsche Bank,to Buy,6/10/2020
Maintains,Wedbush,to Outperform,6/5/2020
Maintains,Credit Suisse,to Neutral,6/5/2020
Maintains,Morgan Stanley,to Overweight,6/3/2020
Maintains,B of A Securities,to Buy,5/27/2020
Maintains,Deutsche Bank,to Buy,5/27/2020
Maintains,Wedbush,to Outperform,5/12/2020
Maintains,DA Davidson,to Buy,9/23/2020
Maintains,Canaccord Genuity,to Buy,5/1/2020
Maintains,Nomura Instinet,to Neutral,9/23/2020
Maintains,UBS,to Buy,5/1/2020
Reiterates,B of A Securities,to Buy,5/1/2020
Maintains,Raymond James,to Outperform,5/1/2020
Maintains,Morgan Stanley,to Overweight,5/1/2020
Maintains,JP Morgan,to Overweight,5/1/2020
Maintains,Cascend,to Buy,5/1/2020
Maintains,Piper Sandler,to Overweight,9/23/2020
Reiterates,B of A Securities,to Buy,4/27/2020
Downgrade,Daiwa Capital,Buy to Outperform,9/23/2020
Downgrade,Goldman Sachs,Neutral to Sell,9/23/2020
Maintains,Deutsche Bank,to Buy,4/16/2020
Maintains,Raymond James,to Outperform,4/13/2020
Maintains,Nomura,to Neutral,9/23/2020
Maintains,JP Morgan,to Overweight,4/8/2020
Maintains,Morgan Stanley,to Overweight,4/3/2020
Maintains,Credit Suisse,to Neutral,4/3/2020
Maintains,UBS,to Buy,3/30/2020
Upgrade,Deutsche Bank,Hold to Buy,3/25/2020
Maintains,Nomura Instinet,to Neutral,3/23/2020
Maintains,Canaccord Genuity,to Buy,3/19/2020
Reiterates,Jefferies,to Buy,9/23/2020
Maintains,Morgan Stanley,to Overweight,3/17/2020
Upgrade,Wells Fargo,Equal-Weight to Overweight,3/13/2020
Reiterates,B of A Securities,to Buy,3/11/2020
Maintains,UBS,to Buy,3/10/2020
Maintains,Deutsche Bank,to Hold,3/6/2020
Reiterates,Cascend,to Buy,3/2/2020
Upgrade,Oppenheimer,Perform to Outperform,9/23/2020
Maintains,Canaccord Genuity,to Buy,2/18/2020
Maintains,Barclays,to Equal-Weight,9/23/2020
Upgrade,B of A Securities,Hold to Buy,1/30/2020
Reiterates,Cascend,to Buy,1/29/2020
Maintains,DA Davidson,to Buy,1/29/2020
Maintains,Nomura,to Neutral,1/29/2020
Maintains,Goldman Sachs,to Neutral,1/29/2020
Maintains,Baird,to Outperform,1/29/2020
Maintains,Monness Crespi Hardt,to Buy,9/23/2020
Maintains,Deutsche Bank,to Hold,1/29/2020
Maintains,Wells Fargo,to Equal-Weight,1/29/2020
Upgrade,Maxim Group,Sell to Hold,1/29/2020
Reiterates,B of A Securities,to Buy,1/29/2020
Maintains,Evercore ISI Group,to Outperform,9/23/2020
Maintains,JP Morgan,to Overweight,1/29/2020
Maintains,RBC Capital,to Outperform,1/29/2020
Maintains,Cowen & Co.,to Outperform,1/29/2020
Maintains,Credit Suisse,to Neutral,1/29/2020
Maintains,Raymond James,to Outperform,1/29/2020
Maintains,Citigroup,to Buy,1/29/2020
Maintains,Piper Sandler,to Overweight,1/29/2020
Maintains,Deutsche Bank,to Hold,1/27/2020
Maintains,Cowen & Co.,to Outperform,1/24/2020
Maintains,Wedbush,to Outperform,1/24/2020
Maintains,Rosenblatt,to Sell,9/23/2020
Maintains,B of A Securities,to Buy,1/23/2020
Maintains,Nomura Instinet,to Neutral,1/17/2020
Maintains,Morgan Stanley,to Overweight,1/17/2020
Maintains,Canaccord Genuity,to Buy,1/15/2020
Maintains,UBS,to Buy,1/14/2020
Downgrade,Atlantic Equities,Neutral to Underweight,1/14/2020
Maintains,DA Davidson,to Buy,1/13/2020
Maintains,Jefferies,to Buy,1/9/2020
Reiterates,Cascend,to Buy,1/6/2020
Downgrade,Needham,Strong Buy to Buy,1/6/2020
Maintains,Bank of America,to Buy,1/3/2020
Maintains,RBC Capital,to Outperform,1/3/2020
Maintains,Wedbush,to Outperform,12/23/2019
Maintains,PiperJaffray,to Outperform,9/23/2020
Maintains,Cowen & Co.,to Outperform,12/17/2019
Maintains,Evercore ISI Group,to Outperform,12/11/2019
Initiated,China Renaissance,to Buy,9/23/2020
Maintains,JP Morgan,to Overweight,12/2/2019
Reiterates,Cascend,to Buy,11/26/2019
Maintains,JP Morgan,to Overweight,11/15/2019
Maintains,Piper Jaffray,to Overweight,9/23/2020
Maintains,Wedbush,to Outperform,11/15/2019
Downgrade,Maxim Group,Hold to Sell,11/14/2019
Initiated,RBC Capital,to Outperform,11/13/2019
Maintains,Cowen & Co.,to Outperform,10/31/2019
Maintains,Canaccord Genuity,to Buy,10/31/2019
Maintains,Wedbush,to Outperform,10/31/2019
Maintains,Barclays,to Equal-Weight,10/31/2019
Maintains,Piper Jaffray,to Overweight,10/31/2019
Maintains,DA Davidson,to Buy,10/31/2019
Maintains,Cascend,to Buy,10/31/2019
Maintains,Wells Fargo,to Market Perform,10/31/2019
Maintains,UBS,to Buy,10/31/2019
Maintains,Morgan Stanley,to Overweight,10/31/2019
Maintains,Nomura,to Neutral,10/31/2019
Maintains,Jefferies,to Buy,10/28/2019
Maintains,Bank of America,to Buy,10/28/2019
Maintains,Credit Suisse,to Neutral,10/28/2019
Reiterates,Cascend,to Buy,10/25/2019
Maintains,UBS,to Buy,10/24/2019
Maintains,Morgan Stanley,to Overweight,10/23/2019
Maintains,Deutsche Bank,to Hold,10/22/2019
Maintains,Raymond James,to Outperform,10/21/2019
Maintains,Barclays,to Equal-Weight,10/17/2019
Maintains,Wedbush,to Outperform,10/11/2019
Upgrade,Longbow Research,Neutral to Buy,9/23/2020
Maintains,Canaccord Genuity,to Buy,10/9/2019
Maintains,Nomura,to Neutral,10/7/2019
Maintains,JP Morgan,to Overweight,9/30/2019
Reiterates,Cascend,to Buy,9/20/2019
Maintains,Goldman Sachs,to Neutral,9/13/2019
Maintains,Needham,to Strong Buy,9/11/2019
Maintains,Barclays,to Equal-Weight,9/11/2019
Reiterates,Bank of America,to Buy,9/11/2019
Initiated,Barclays,to Equal-Weight,8/8/2019
Maintains,Deutsche Bank,to Hold,7/31/2019
Maintains,Bank of America,to Buy,7/31/2019
Maintains,Citigroup,to Buy,7/31/2019
Maintains,Cowen & Co.,to Outperform,7/31/2019
Maintains,Piper Jaffray,to Overweight,7/31/2019
Maintains,Canaccord Genuity,to Buy,7/31/2019
Maintains,Nomura,to Neutral,7/31/2019
Maintains,Wedbush,to Outperform,7/31/2019
Maintains,UBS,to Buy,7/29/2019
Maintains,Morgan Stanley,to Overweight,7/22/2019
Maintains,Nomura,to Neutral,7/19/2019
Upgrade,Raymond James,Market Perform to Outperform,7/18/2019
Maintains,Goldman Sachs,to Neutral,7/17/2019
Maintains,JP Morgan,to Overweight,7/9/2019
Downgrade,Rosenblatt,Neutral to Sell,7/8/2019
Initiated,Deutsche Bank,to Hold,6/20/2019
Initiated,Evercore ISI Group,to Outperform,6/6/2019
Maintains,Canaccord Genuity,to Buy,6/4/2019
Maintains,Morgan Stanley,to Overweight,5/30/2019
Maintains,Morgan Stanley,to Overweight,5/30/2019
Maintains,Citi,to Buy,9/23/2020
Maintains,UBS,to Buy,5/23/2019
Maintains,Nomura,to Neutral,5/17/2019
Maintains,Wells Fargo,Market Perform to Market Perform,5/1/2019
Maintains,Morgan Stanley,Overweight to Overweight,5/1/2019
Maintains,Wedbush,Outperform to Outperform,5/1/2019
Maintains,Bank of America,Buy to Buy,5/1/2019
Maintains,Canaccord Genuity,Buy to Buy,5/1/2019
Maintains,UBS,Buy to Buy,4/25/2019
Maintains,Morgan Stanley,Overweight to Overweight,4/24/2019
Initiated,Credit Suisse,to Neutral,4/11/2019
Reiterates,Bank of America,Buy to Buy,4/10/2019
Downgrade,HSBC,Hold to Reduce,4/10/2019
Maintains,UBS,Buy to Buy,3/26/2019
Maintains,Baird,Outperform to Outperform,3/26/2019
Maintains,Canaccord Genuity,Buy to Buy,3/26/2019
Maintains,Morgan Stanley,Overweight to Overweight,3/26/2019
Reiterates,Citigroup,Buy to Buy,3/21/2019
Maintains,Wedbush,Outperform to Outperform,3/21/2019
Upgrade,Needham,Buy to Strong Buy,3/21/2019
Initiated,Cowen & Co.,to Outperform,3/14/2019
Upgrade,Bank of America,Neutral to Buy,3/11/2019
Reiterates,Bank of America,Neutral to Neutral,1/30/2019
Reiterates,Citigroup,Buy to Buy,1/30/2019
Maintains,Morgan Stanley,Overweight to Overweight,1/30/2019
Maintains,BMO Capital,Market Perform to Market Perform,9/23/2020
Maintains,Canaccord Genuity,Buy to Buy,1/30/2019
Maintains,UBS,Buy to Buy,1/30/2019
Maintains,Nomura,Neutral to Neutral,1/30/2019
Maintains,Citigroup,Buy to Buy,1/4/2019
Maintains,Nomura,Neutral to Neutral,1/3/2019
Maintains,Canaccord Genuity,Buy to Buy,1/3/2019
Maintains,Baird,Outperform to Outperform,1/3/2019
Maintains,Wedbush,Outperform to Outperform,1/3/2019
Maintains,Morgan Stanley,Overweight to Overweight,1/3/2019
Reiterates,Wells Fargo,Market Perform to Market Perform,1/3/2019
Reiterates,Bank of America,Neutral to Neutral,1/3/2019
Downgrade,Macquarie,Outperform to Neutral,1/3/2019
Maintains,Citigroup,Buy to Buy,1/3/2019
Reiterates,DA Davidson,Buy to Buy,12/14/2018
Maintains,Citigroup,Buy to Buy,12/10/2018
Maintains,Morgan Stanley,Overweight to Overweight,12/7/2018
Maintains,Rosenblatt,to Neutral,12/6/2018
Downgrade,HSBC,Buy to Hold,12/4/2018
Maintains,Canaccord Genuity,Buy to Buy,11/29/2018
Reiterates,Goldman Sachs,to Neutral,11/20/2018
Maintains,UBS,Buy to Buy,11/14/2018
Downgrade,Guggenheim,Buy to Neutral,11/14/2018
Maintains,Morgan Stanley,Overweight to Overweight,11/8/2018
Maintains,Baird,Outperform to Outperform,11/2/2018
Maintains,JP Morgan,Overweight to Overweight,11/2/2018
Maintains,Nomura,Neutral to Neutral,11/2/2018
Maintains,BMO Capital,Market Perform to Market Perform,11/2/2018
Maintains,Citigroup,Buy to Buy,11/2/2018
Downgrade,Bank of America,Buy to Neutral,11/2/2018
Initiated,Jefferies,to Buy,10/29/2018
Initiated,Wedbush,to Outperform,10/19/2018
Maintains,Nomura,Neutral to Neutral,9/28/2018
Initiated,JP Morgan,to Overweight,9/27/2018
Maintains,Bank of America,Buy to Buy,9/13/2018
Maintains,Morgan Stanley,Overweight to Overweight,9/13/2018
Maintains,DA Davidson,Buy to Buy,9/5/2018
Maintains,Morgan Stanley,Overweight to Overweight,9/5/2018
Maintains,Canaccord Genuity,Buy to Buy,9/4/2018
Maintains,Nomura,Neutral to Neutral,8/31/2018
Maintains,Bank of America,Buy to Buy,8/21/2018
Maintains,Citigroup,Buy to Buy,8/2/2018
Maintains,Canaccord Genuity,Buy to Buy,8/1/2018
Maintains,BMO Capital,Market Perform to Market Perform,8/1/2018
Maintains,Deutsche Bank,Hold to Hold,8/1/2018
Maintains,Morgan Stanley,Overweight to Overweight,7/24/2018
Maintains,BMO Capital,Market Perform to Market Perform,7/23/2018
Maintains,Argus,Buy to Buy,9/23/2020
Downgrade,Maxim Group,Buy to Hold,5/30/2018
Maintains,Morgan Stanley,Overweight to Overweight,5/24/2018
Maintains,BMO Capital,Market Perform to Market Perform,5/2/2018
Maintains,Barclays,Equal-Weight to Equal-Weight,5/2/2018
Initiated,DA Davidson,to Buy,4/30/2018
Maintains,Barclays,Equal-Weight to Equal-Weight,4/30/2018
Maintains,Morgan Stanley,Overweight to Overweight,4/20/2018
Initiated,Monness Crespi Hardt,to Buy,4/11/2018
Maintains,Barclays,Equal-Weight to Equal-Weight,3/16/2018
Initiated,Goldman Sachs,to Neutral,2/7/2018
Upgrade,Hilliard Lyons,Long-Term Buy to Buy,2/5/2018
Maintains,Maxim Group,Buy to Buy,2/2/2018
Maintains,Barclays,Equal-Weight to Equal-Weight,2/2/2018
Maintains,BMO Capital,Market Perform to Market Perform,2/2/2018
Maintains,Morgan Stanley,Overweight to Overweight,2/2/2018
Downgrade,Bernstein,Outperform to Market Perform,2/2/2018
Downgrade,KeyBanc,Overweight to Sector Weight,9/23/2020
Maintains,Loop Capital,Buy to Buy,1/31/2018
Downgrade,BMO Capital,Outperform to Market Perform,1/31/2018
Maintains,Morgan Stanley,Overweight to Overweight,1/25/2018
Maintains,Morgan Stanley,Overweight to Overweight,1/23/2018
Downgrade,Atlantic Equities,Overweight to Neutral,1/22/2018
Downgrade,Longbow Research,Buy to Neutral,1/17/2018
Downgrade,Instinet,Buy to Neutral,12/19/2017
Maintains,Argus,to Buy,11/6/2017
Maintains,Bernstein,to Outperform,11/3/2017
Maintains,Citigroup,to Buy,11/3/2017
Maintains,UBS,to Buy,11/3/2017
Maintains,BMO Capital,to Outperform,11/3/2017
