Change,Analyst,Recommendation,Date
Maintains,SunTrust Robinson Humphrey, to Buy,10/17/2014
Maintains,Topeka, to Buy,10/17/2014
Maintains,Credit Suisse, to Outperform,10/14/2014
Upgrade,Hudson Square, Hold to Buy,10/13/2014
Maintains,Susquehanna, to Positive,10/10/2014
Maintains,UBS, to Buy,7/18/2014
Maintains,Raymond James, to Outperform,7/18/2014
Maintains,JP Morgan, to Overweight,7/18/2014
Maintains,Deutsche Bank, to Buy,7/18/2014
Maintains,Credit Suisse, to Outperform,7/18/2014
Upgrade,BGC Financial, to Buy,7/18/2014
Maintains,Credit Suisse, to Outperform,7/14/2014
Maintains,Citigroup, to Buy,6/27/2014
Initiated,Barclays, to Overweight,6/26/2014
Maintains,Deutsche Bank, to Buy,4/17/2014
Maintains,Citigroup, to Buy,4/17/2014
Maintains,Cantor Fitzgerald, to Buy,4/17/2014
Maintains,CRT Capital, to Buy,4/17/2014
Maintains,Credit Suisse, to Outperform,4/17/2014
Maintains,Bank of America, to Buy,4/17/2014
Maintains,UBS, to Buy,4/17/2014
Maintains,JP Morgan, to Overweight,4/17/2014
Maintains,JMP Securities, to Market Outperform,4/17/2014
Maintains,Jefferies, to Buy,4/15/2014
Maintains,Deutsche Bank, to Buy,4/10/2014
Maintains,CRT Capital, to Buy,4/2/2014
Maintains,JP Morgan, to Overweight,3/28/2014
Maintains,JP Morgan, to Overweight,1/31/2014
Maintains,FBN Securities, to Outperform,1/31/2014
Maintains,Pacific Crest, to Outperform,1/21/2014
Maintains,Credit Suisse, to Outperform,1/21/2014
Maintains,Raymond James, to Outperform,1/16/2014
Initiated,Nomura, to Buy,1/15/2014
Upgrade,Wells Fargo, Market Perform to Outperform,1/14/2014
Initiated,FBN Securities, to Outperform,1/14/2014
Maintains,JP Morgan, to Overweight,1/7/2014
Maintains,Morgan Stanley, to Overweight,1/6/2014
Maintains,Topeka, to Buy,12/11/2013
Maintains,Citigroup, to Buy,11/18/2013
Maintains,Citigroup, to Buy,10/18/2013
Maintains,Needham, to Buy,10/18/2013
Maintains,Goldman Sachs, to Neutral,10/18/2013
Maintains,Wedbush, to Neutral,10/18/2013
Maintains,Canaccord Genuity, to Buy,10/18/2013
Maintains,Bank of America, to Buy,10/18/2013
Maintains,JP Morgan, to Overweight,10/18/2013
Maintains,Oppenheimer, to Perform,10/18/2013
Maintains,Topeka, to Buy,10/18/2013
Initiated,CRT Capital, to Buy,9/19/2013
Maintains,Pivotal Research, to Hold,9/5/2013
Initiated,SunTrust Robinson Humphrey, to Buy,7/16/2013
Maintains,Credit Suisse, Outperform to Outperform,7/15/2013
